DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
17-Mar-2026,EQ,"255.50","257.15","250.00","253.50","256.00","256.35","253.95","305.90","192.98",7083919,"1,79,89,29,772.95",48878
16-Mar-2026,EQ,"257.05","260.80","248.90","258.50","253.05","253.50","253.22","305.90","192.98",7970526,"2,01,83,14,899.90",63769
13-Mar-2026,EQ,"265.85","270.30","256.60","267.85","258.25","258.50","262.06","305.90","188.00",11238122,"2,94,50,65,020.00",76723
12-Mar-2026,EQ,"253.90","270.35","251.85","255.75","267.80","267.85","265.53","305.90","188.00",16227938,"4,30,90,03,706.35",109076
11-Mar-2026,EQ,"258.95","262.80","255.00","258.65","255.40","255.75","258.90","305.90","188.00",6282466,"1,62,65,08,974.25",91932
10-Mar-2026,EQ,"259.00","262.00","252.60","255.40","258.80","258.65","256.79","305.90","188.00",6171454,"1,58,47,65,899.15",54532
09-Mar-2026,EQ,"253.05","256.35","247.60","258.95","255.00","255.40","251.86","305.90","188.00",7235564,"1,82,23,20,994.90",79969
06-Mar-2026,EQ,"256.55","264.45","255.75","257.25","259.00","258.95","261.71","305.90","176.00",10342609,"2,70,67,64,017.30",74003
05-Mar-2026,EQ,"249.75","258.80","249.30","247.90","257.35","257.25","253.86","305.90","176.00",10224873,"2,59,57,08,830.05",71888
04-Mar-2026,EQ,"258.00","258.95","247.20","262.15","248.10","247.90","250.20","305.90","176.00",16208648,"4,05,54,43,076.20",115274
02-Mar-2026,EQ,"256.05","266.40","256.05","264.95","262.10","262.15","261.51","305.90","176.00",12870609,"3,36,58,04,606.30",100105
27-Feb-2026,EQ,"264.50","267.90","262.80","264.85","264.00","264.95","265.71","305.90","176.00",8367571,"2,22,33,57,411.45",47697
26-Feb-2026,EQ,"263.00","265.50","259.75","261.95","264.40","264.85","262.87","305.90","176.00",6496828,"1,70,78,42,367.65",48425
25-Feb-2026,EQ,"262.40","265.10","260.00","261.80","261.55","261.95","262.44","305.90","176.00",8855564,"2,32,40,70,468.25",41967
